application_number,advice_date,ego_examiner_id,alter_examiner_id
09868569,2008-04-30,75775,83794
09868569,2008-04-30,75775,70306
09868569,2008-04-30,75775,NA
09868819,2008-03-26,72573,68460
09868819,2008-10-02,72573,68460
09868819,2008-03-26,72573,79585
09870223,2008-11-12,73616,73936
09872502,2008-01-17,98854,60567
09872502,2008-01-17,98854,NA
09872502,2008-01-17,98854,93904
09872502,2008-01-17,98854,94442
09872502,2008-01-17,98854,62033
09872502,2008-01-17,98854,94020
09872502,2008-05-14,98854,94020
09872502,2008-05-14,98854,93677
09872566,2008-01-07,65566,92464
09872566,2008-01-07,65566,70835
09872590,2008-01-28,88077,87028
09872647,2008-01-18,88077,87028
09873272,2008-07-29,96697,92464
09873272,2008-01-25,96697,95972
09873272,2008-01-25,96697,67389
09873272,2008-07-29,96697,67389
09873272,2008-01-25,96697,70835
09873272,2008-07-29,96697,76536
09874292,2008-07-22,92674,73191
09875403,2008-03-25,97974,94120
09875546,2008-07-02,94753,62384
09876090,2008-02-20,66685,83879
09876090,2008-02-20,66685,68783
09876090,2008-02-20,66685,85057
09876090,2008-02-20,66685,69090
09876111,2008-01-08,69524,62242
09877404,2008-08-28,61918,72535
09878536,2008-04-10,66805,66400
09879854,2008-07-28,67690,61180
09879854,2008-07-28,67690,71948
09879854,2008-07-28,67690,66206
09879854,2008-07-28,67690,71259
09879854,2008-07-28,67690,NA
09879854,2008-07-28,67690,98700
09879854,2008-07-28,67690,93403
09879854,2008-07-28,67690,97808
09879854,2008-07-28,67690,78807
09879854,2008-07-28,67690,64315
09879854,2008-07-28,67690,68486
09879854,2008-07-28,67690,60377
09879854,2008-07-28,67690,65713
09879854,2008-07-28,67690,74230
09879854,2008-07-28,67690,87486
09880097,2008-09-09,93839,67669
09881024,2008-08-18,95339,75373
09881737,2008-05-30,91354,71487
09882485,2008-01-11,68425,62540
09882491,2008-09-04,59397,98108
09882491,2008-12-17,59397,98108
09882491,2008-12-17,59397,73191
09882702,2008-09-15,97703,94120
09882702,2008-09-15,97703,73703
09884131,2008-05-02,67509,65231
09885287,2008-10-28,96939,NA
09885287,2008-10-28,96939,71059
09886296,2008-04-22,91688,71059
09886611,2008-10-03,94270,97655
09888110,2008-11-26,94270,99319
09888110,2008-11-26,94270,81337
09888110,2008-11-26,94270,66927
09888365,2008-07-31,94301,59975
09888365,2008-07-31,94301,62882
09888441,2008-04-14,75036,97402
09890799,2008-10-07,60715,71059
09891225,2008-01-14,67570,77583
09891379,2008-12-09,97974,94120
09891379,2008-12-09,97974,96456
09891380,2008-06-27,97974,94120
09891380,2008-10-14,97974,94120
09891380,2008-06-27,97974,73703
09891380,2008-10-14,97974,73703
09892296,2008-01-03,75973,76536
09892296,2008-12-30,75973,76536
09892490,2008-05-23,66805,92312
09892490,2008-05-23,66805,92028
09892490,2008-05-23,66805,66400
09892525,2008-07-10,60501,79585
09893431,2008-03-26,94230,66096
09893441,2008-02-13,94230,66096
09894035,2008-05-19,95938,98830
09896228,2008-06-17,65867,76536
09896390,2008-11-18,68425,62540
09896390,2008-11-18,68425,94120
09896390,2008-11-18,68425,94753
09896390,2008-11-18,68425,65231
09896470,2008-04-18,87666,60579
09896470,2008-04-18,87666,74747
09896470,2008-04-18,87666,97703
09896470,2008-10-17,87666,94363
09896470,2008-10-17,87666,77539
09896526,2008-01-31,98224,60487
09899829,2008-01-31,99654,67389
09902184,2008-03-03,NA,59181
09902184,2008-03-03,NA,94704
09902651,2008-09-22,84356,98531
09902651,2008-09-22,84356,64050
09903033,2008-08-08,72573,71487
09903630,2008-02-13,64660,76536
09904409,2008-08-07,83375,88801
09904409,2008-08-07,83375,73703
09910206,2008-02-08,60768,87028
09910206,2008-02-08,88077,87028
09910853,2008-12-04,60501,85057
09910853,2008-12-04,60501,69090
09911750,2008-02-22,60128,60158
09911819,2008-07-23,97590,71380
09911819,2008-07-23,97590,67400
09912920,2008-02-19,88565,67389
09912920,2008-02-19,88565,99865
09913643,2008-02-07,90588,98081
09913643,2008-02-07,90588,67669
09915114,2008-07-23,70840,69922
09915114,2008-07-23,70840,73703
09915719,2008-05-02,60802,92028
09916323,2008-09-04,65566,93567
09918376,2008-12-24,97703,62540
09919527,2008-02-25,83122,66055
09919527,2008-10-15,83122,66055
09919729,2008-01-10,83122,60427
09919729,2008-12-18,83122,96021
09920591,2008-04-07,69116,64243
09920591,2008-04-07,69116,62528
09920893,2008-03-26,90049,76536
09920893,2008-03-26,90049,62528
09920893,2008-03-26,90049,91853
09921096,2008-09-02,68425,62540
09921096,2008-09-02,68425,94120
09921096,2008-09-02,68425,65231
09922076,2008-04-10,96885,67666
09922076,2008-04-10,96885,92812
09922153,2008-03-19,79841,99395
09922209,2008-12-10,59719,76536
09922293,2008-08-15,97242,73239
09923075,2008-12-15,96196,65586
09923353,2008-11-19,61043,92569
09923440,2008-02-22,NA,59181
09923440,2008-08-19,NA,59181
09923870,2008-12-18,97586,72253
09923870,2008-12-18,97586,96339
09924185,2008-06-02,92475,68515
09924808,2008-05-22,96764,85057
09924808,2008-05-22,96764,69090
09924826,2008-03-31,75341,63478
09926007,2008-02-22,96764,91853
09926367,2008-08-15,93859,77184
09926367,2008-08-15,93859,97692
09926661,2008-09-19,93839,71946
09926661,2008-09-19,93839,67669
09926661,2008-09-19,93839,95981
09927015,2008-01-02,NA,59181
09927015,2008-01-02,NA,94704
09927096,2008-07-09,NA,59181
09927163,2008-07-10,NA,78326
09927894,2008-05-14,69116,92464
09927894,2008-05-14,69116,70835
09927906,2008-01-10,67078,72089
09928133,2008-10-21,98381,92028
09930119,2008-09-05,68584,72573
09930119,2008-09-05,68584,64834
09931469,2008-09-02,97795,60897
09931469,2008-09-02,97795,71764
09931469,2008-09-02,97795,61485
09931577,2008-04-30,68425,68762
09931577,2008-04-30,68425,78241
09932086,2008-07-29,96266,92569
09932121,2008-04-11,59391,95635
09933582,2008-01-23,60094,92569
09933582,2008-01-23,60094,62528
09933582,2008-01-23,60094,60487
09934036,2008-02-01,65867,87917
09934036,2008-02-01,65867,62242
09934884,2008-05-15,63962,92464
09934884,2008-05-15,63962,76536
09934884,2008-05-15,63962,92028
09935446,2008-04-09,75973,62242
09935616,2008-10-07,74148,73703
09936377,2008-05-28,75775,69583
09936921,2008-04-16,75775,69583
09936921,2008-06-23,75775,69583
09936921,2008-04-16,75775,83794
09937587,2008-07-21,93859,77068
09937587,2008-07-21,93859,NA
09937730,2008-09-04,97910,85987
09937730,2008-09-04,97910,59738
09937730,2008-09-04,97910,99004
09938667,2008-10-28,90588,62480
09938944,2008-03-28,NA,93857
09939161,2008-05-01,95217,74828
09939161,2008-05-01,95217,61767
09939161,2008-05-01,95217,NA
09941837,2008-05-29,68425,94120
09941837,2008-05-29,68425,73703
09942690,2008-03-25,74473,98905
09943054,2008-03-20,73364,65737
09943424,2008-12-23,75615,95398
09943424,2008-06-18,75615,71764
09943424,2008-06-18,75615,61485
09943641,2008-08-14,97706,75119
09943786,2008-07-09,NA,59181
09943786,2008-11-25,NA,59181
09943786,2008-07-09,NA,94704
09943799,2008-12-23,NA,60279
09943799,2008-12-23,NA,59181
09943799,2008-12-23,NA,78326
09943836,2008-08-01,68810,71985
09944062,2008-04-14,93735,67389
09944062,2008-04-14,93735,81838
09944694,2008-12-11,74473,68624
09945160,2008-04-23,67543,67389
09946009,2008-10-14,60130,99574
09946009,2008-10-14,60130,92060
09946311,2008-03-11,94298,90064
09946736,2008-02-19,77346,66324
09946736,2008-10-28,77346,60897
09946736,2008-10-28,77346,98690
09946736,2008-10-28,77346,96691
09946736,2008-10-28,77346,80174
09946736,2008-10-28,77346,78036
09946736,2008-10-28,77346,96277
09946736,2008-02-19,77346,99459
09946736,2008-02-19,77346,95635
09946736,2008-10-28,77346,95635
09946736,2008-02-19,77346,NA
09946781,2008-04-01,65231,60579
09946781,2008-10-15,65231,60579
09946781,2008-04-01,65231,74747
09946781,2008-10-15,65231,92569
09946781,2008-04-01,65231,65231
09946919,2008-08-01,97703,65231
09947055,2008-04-18,64623,59768
09947181,2008-12-24,73296,62528
09947544,2008-08-08,67340,90956
09947736,2008-12-30,73847,71764
09947736,2008-12-30,73847,61485
09947760,2008-04-30,64623,99319
09947760,2008-04-30,64623,81337
09947760,2008-04-30,64623,66927
09947833,2008-01-11,NA,65790
09949630,2008-01-15,88077,87028
09949630,2008-05-21,88077,87028
09950253,2008-01-23,NA,67389
09950253,2008-01-23,NA,76536
09950651,2008-04-30,NA,62242
09951774,2008-05-20,64623,99319
09951774,2008-05-20,64623,81337
09951774,2008-05-20,64623,66927
09951952,2008-10-29,75216,75919
09952080,2008-01-30,95600,76536
09952259,2008-07-07,67543,67389
09952295,2008-06-26,73119,85057
09952295,2008-06-26,73119,69090
